Score,Filename
0.2658,242-367x267.png
0.2978,187-367x267.png
0.3002,16-367x267.png
0.3096,213-367x267.png
0.3183,141-367x267.png
0.3290,46-367x267.png
0.3359,74-367x267.png
0.3483,287-367x267.png
0.3512,25-367x267.png
0.3638,131-367x267.png
0.3763,277-367x267.png
0.3889,127-367x267.png
0.3929,112-367x267.png
0.3963,47-367x267.png
0.3986,210-367x267.png
0.4006,71-367x267.png
0.4068,10-367x267.png
0.4171,28-367x267.png
0.4182,154-367x267.png
0.4227,197-367x267.png
0.4228,176-367x267.png
0.4229,85-367x267.png
0.4248,196-367x267.png
0.4254,149-367x267.png
0.4336,102-367x267.png
0.4345,278-367x267.png
0.4347,165-367x267.png
0.4387,120-367x267.png
0.4399,174-367x267.png
0.4574,204-367x267.png
0.4597,314-367x267.png
0.4652,266-367x267.png
0.4668,166-367x267.png
0.4695,756-536x354.png
0.4707,76-367x267.png
0.4718,132-367x267.png
0.4725,228-367x267.png
0.4733,162-367x267.png
0.4764,143-367x267.png
0.4772,302-367x267.png
0.4774,156-367x267.png
0.4814,147-367x267.png
0.4891,240-367x267.png
0.4910,310-367x267.png
0.4915,12-367x267.png
0.4932,329-536x354.png
0.4944,236-367x267.png
0.4958,269-367x267.png
0.4979,52-367x267.png
0.4981,215-367x267.png
0.4997,29-367x267.png
0.4998,211-367x267.png
0.5018,190-367x267.png
0.5032,69-367x267.png
0.5049,193-367x267.png
0.5080,72-367x267.png
0.5092,231-367x267.png
0.5097,252-367x267.png
0.5105,173-367x267.png
0.5114,235-367x267.png
0.5125,313-367x267.png
0.5125,139-367x267.png
0.5167,49-367x267.png
0.5173,305-367x267.png
0.5185,281-367x267.png
0.5193,172-367x267.png
0.5199,32-367x267.png
0.5216,7-367x267.png
0.5227,164-367x267.png
0.5242,294-367x267.png
0.5333,125-367x267.png
0.5351,79-367x267.png
0.5370,100-367x267.png
0.5380,41-367x267.png
0.5382,90-367x267.png
0.5416,128-367x267.png
0.5418,264-367x267.png
0.5444,68-367x267.png
0.5453,259-367x267.png
0.5454,51-367x267.png
0.5489,194-367x267.png
0.5514,15-367x267.png
0.5522,155-367x267.png
0.5535,93-367x267.png
0.5540,118-367x267.png
0.5575,255-367x267.png
0.5596,280-367x267.png
0.5607,109-367x267.png
0.5619,238-367x267.png
0.5635,200-367x267.png
0.5638,61-367x267.png
0.5685,254-367x267.png
0.5688,2-367x267.png
0.5689,124-367x267.png
0.5705,216-367x267.png
0.5705,11-367x267.png
0.5712,295-367x267.png
0.5714,316-367x267.png
0.5717,244-367x267.png
0.5731,0-367x267.png
0.5748,271-367x267.png
0.5757,140-367x267.png
0.5758,130-367x267.png
0.5765,6-367x267.png
0.5765,296-367x267.png
0.5779,144-367x267.png
0.5787,163-367x267.png
0.5820,101-367x267.png
0.5825,284-367x267.png
0.5833,265-367x267.png
0.5877,66-367x267.png
0.5881,288-367x267.png
0.5910,22-367x267.png
0.5950,289-367x267.png
0.5957,167-367x267.png
0.5963,185-367x267.png
0.5965,114-367x267.png
0.5974,189-367x267.png
0.6005,188-367x267.png
0.6006,283-367x267.png
0.6027,291-367x267.png
0.6033,258-367x267.png
0.6037,110-367x267.png
0.6047,275-367x267.png
0.6050,104-367x267.png
0.6053,94-367x267.png
0.6071,121-367x267.png
0.6108,183-367x267.png
0.6113,107-367x267.png
0.6118,62-367x267.png
0.6124,300-367x267.png
0.6126,151-367x267.png
0.6135,272-367x267.png
0.6142,103-367x267.png
0.6146,214-367x267.png
0.6155,256-367x267.png
0.6172,233-367x267.png
0.6173,44-367x267.png
0.6187,247-367x267.png
0.6204,111-367x267.png
0.6210,161-367x267.png
0.6215,33-367x267.png
0.6219,267-367x267.png
0.6242,186-367x267.png
0.6253,67-367x267.png
0.6265,83-367x267.png
0.6291,21-367x267.png
0.6316,626-536x354.png
0.6317,199-367x267.png
0.6345,663-536x354.png
0.6350,251-367x267.png
0.6360,241-367x267.png
0.6362,222-367x267.png
0.6377,217-367x267.png
0.6385,38-367x267.png
0.6389,126-367x267.png
0.6398,14-367x267.png
0.6401,184-367x267.png
0.6401,92-367x267.png
0.6412,136-367x267.png
0.6412,55-367x267.png
0.6414,4-367x267.png
0.6420,175-367x267.png
0.6430,63-367x267.png
0.6436,282-367x267.png
0.6436,219-367x267.png
0.6445,84-367x267.png
0.6446,299-367x267.png
0.6470,59-367x267.png
0.6474,279-367x267.png
0.6494,108-367x267.png
0.6525,50-367x267.png
0.6531,307-367x267.png
0.6533,191-367x267.png
0.6555,19-367x267.png
0.6558,270-367x267.png
0.6558,308-367x267.png
0.6569,88-367x267.png
0.6581,201-367x267.png
0.6583,171-367x267.png
0.6612,206-367x267.png
0.6617,309-367x267.png
0.6668,182-367x267.png
0.6675,37-367x267.png
0.6692,36-367x267.png
0.6694,157-367x267.png
0.6715,643-536x354.png
0.6715,268-367x267.png
0.6717,180-367x267.png
0.6718,227-367x267.png
0.6739,315-367x267.png
0.6741,23-367x267.png
0.6745,195-367x267.png
0.6766,142-367x267.png
0.6769,45-367x267.png
0.6770,106-367x267.png
0.6772,232-367x267.png
0.6776,257-367x267.png
0.6787,30-367x267.png
0.6792,13-367x267.png
0.6806,34-367x267.png
0.6816,229-367x267.png
0.6842,58-367x267.png
0.6843,17-367x267.png
0.6848,115-367x267.png
0.6856,64-367x267.png
0.6868,77-367x267.png
0.6870,203-367x267.png
0.6870,248-367x267.png
0.6873,292-367x267.png
0.6874,168-367x267.png
0.6875,78-367x267.png
0.6882,20-367x267.png
0.6908,48-367x267.png
0.6913,169-367x267.png
0.6914,158-367x267.png
0.6917,145-367x267.png
0.6923,274-367x267.png
0.6937,234-367x267.png
0.6955,56-367x267.png
0.6962,133-367x267.png
0.6969,87-367x267.png
0.6971,152-367x267.png
0.6976,98-367x267.png
0.6989,293-367x267.png
0.6995,40-367x267.png
0.7001,129-367x267.png
0.7018,89-367x267.png
0.7042,60-367x267.png
0.7047,134-367x267.png
0.7051,159-367x267.png
0.7057,27-367x267.png
0.7058,18-367x267.png
0.7077,135-367x267.png
0.7085,306-367x267.png
0.7100,119-367x267.png
0.7101,856-536x354.png
0.7113,249-367x267.png
0.7119,117-367x267.png
0.7126,223-367x267.png
0.7132,113-367x267.png
0.7140,297-367x267.png
0.7163,276-367x267.png
0.7166,273-367x267.png
0.7184,95-367x267.png
0.7195,179-367x267.png
0.7201,160-367x267.png
0.7203,260-367x267.png
0.7207,209-367x267.png
0.7211,80-367x267.png
0.7232,177-367x267.png
0.7246,220-367x267.png
0.7250,116-367x267.png
0.7254,312-367x267.png
0.7259,192-367x267.png
0.7260,170-367x267.png
0.7261,53-367x267.png
0.7264,54-367x267.png
0.7294,75-367x267.png
0.7299,153-367x267.png
0.7313,178-367x267.png
0.7330,57-367x267.png
0.7340,116-536x354.png
0.7351,304-367x267.png
0.7362,198-367x267.png
0.7378,24-367x267.png
0.7436,122-367x267.png
0.7444,39-367x267.png
0.7448,137-367x267.png
0.7450,538-536x354.png
0.7485,230-367x267.png
0.7493,250-367x267.png
0.7494,212-367x267.png
0.7501,123-367x267.png
0.7540,73-367x267.png
0.7546,243-367x267.png
0.7547,81-367x267.png
0.7564,181-367x267.png
0.7579,35-367x267.png
0.7587,65-367x267.png
0.7588,1-367x267.png
0.7599,301-367x267.png
0.7611,208-367x267.png
0.7641,43-367x267.png
0.7641,239-367x267.png
0.7644,253-367x267.png
0.7676,82-367x267.png
0.7705,96-367x267.png
0.7721,263-367x267.png
0.7797,8-367x267.png
0.7806,225-367x267.png
0.7815,42-367x267.png
0.7820,202-367x267.png
0.7828,500-536x354.png
0.7838,218-367x267.png
0.7881,70-367x267.png
0.7891,99-367x267.png
0.7955,237-367x267.png
0.7966,5-367x267.png
0.7969,31-367x267.png
0.7979,9-367x267.png
0.8033,290-367x267.png
0.8047,261-367x267.png
0.8130,3-367x267.png
0.8280,531-536x354.png
0.8327,146-367x267.png
0.8354,91-367x267.png
0.8362,311-367x267.png
0.8390,26-367x267.png
0.9998,221-367x267.png
